Dataset	PlexID
PTRC_Ex17_P_P2_F1_10Apr21_Rage_Rep-21-02-05	Plex2
PTRC_Ex17_P_P3_F1_10Apr21_Rage_Rep-21-02-05	Plex3
PTRC_Ex17_P_P4_F1_10Apr21_Rage_Rep-21-02-05	Plex4
PTRC_Ex17_P_P1_F1_10Apr21_Rage_Rep-21-02-05	Plex1
PTRC_Ex17_P_P4_F2_10Apr21_Rage_Rep-21-02-05	Plex4
PTRC_Ex17_P_P1_F2_10Apr21_Rage_Rep-21-02-05	Plex1
PTRC_Ex17_P_P3_F2_10Apr21_Rage_Rep-21-02-05	Plex3
PTRC_Ex17_P_P2_F2_10Apr21_Rage_Rep-21-02-05	Plex2
PTRC_Ex17_P_P2_F3_10Apr21_Rage_Rep-21-02-05	Plex2
PTRC_Ex17_P_P1_F3_10Apr21_Rage_Rep-21-02-05	Plex1
PTRC_Ex17_P_P3_F3_10Apr21_Rage_Rep-21-02-05	Plex3
PTRC_Ex17_P_P4_F3_10Apr21_Rage_Rep-21-02-05	Plex4
PTRC_Ex17_P_P3_F4_10Apr21_Rage_Rep-21-02-05	Plex3
PTRC_Ex17_P_P2_F4_10Apr21_Rage_Rep-21-02-05	Plex2
PTRC_Ex17_P_P1_F4_10Apr21_Rage_Rep-21-02-05	Plex1
PTRC_Ex17_P_P4_F4_10Apr21_Rage_Rep-21-02-05	Plex4
PTRC_Ex17_P_P3_F5_10Apr21_Rage_Rep-21-02-05	Plex3
PTRC_Ex17_P_P4_F5_10Apr21_Rage_Rep-21-02-05	Plex4
PTRC_Ex17_P_P2_F5_10Apr21_Rage_Rep-21-02-05	Plex2
PTRC_Ex17_P_P1_F5_10Apr21_Rage_Rep-21-02-05	Plex1
PTRC_Ex17_P_P2_F6_10Apr21_Rage_Rep-21-02-05	Plex2
PTRC_Ex17_P_P1_F6_10Apr21_Rage_Rep-21-02-05	Plex1
PTRC_Ex17_P_P4_F6_10Apr21_Rage_Rep-21-02-05	Plex4
PTRC_Ex17_P_P3_F6_10Apr21_Rage_Rep-21-02-05	Plex3
